正规跃层，景观房 ，商品房，房龄新，精装修|503|175|阳光嘉园|4室2厅
满五唯一 进香河33号三房 东南大学 鼓楼金润发|390|74|进香河33号|3室1厅
三房南北通透 采光无影响 石林百货 生活方便|224|78|华盛园|3室1厅
